ticker,name,sector,type,market_value,weight,notional_value,shares,price,location,exchange,currency
"NOK","NOK CASH","Cash and/or Derivatives","Cash","3,696.80","0.00","3,696.80","35,105.00","10.53","Norway","-","NOK"
"SGD","SGD CASH","Cash and/or Derivatives","Cash","3,823.06","0.00","3,823.06","5,238.00","72.99","Singapore","-","SGD"
"MARGIN_JPY","FUTURES JPY MARGIN BALANCE","Cash and/or Derivatives","Cash Collateral and Margins","-0.09","0.00","-0.09","-12.00","0.79","Japan","-","JPY"
"AUD","AUD/USD","Cash and/or Derivatives","Foreign Exchange","0.29","0.00","0.29","-48,072.00","1.00","United States","-","USD"
"CAD","CAD/USD","Cash and/or Derivatives","Foreign Exchange","-1.70","0.00","-1.70","-294,539.00","1.00","United States","-","USD"
"CHF","CHF/USD","Cash and/or Derivatives","Foreign Exchange","0.96","0.00","0.96","-109,672.00","1.00","United States","-","USD"
"EUR","EUR/USD","Cash and/or Derivatives","Foreign Exchange","-8.38","0.00","-8.38","-931,389.00","1.00","United States","-","USD"
"GBP","GBP/USD","Cash and/or Derivatives","Foreign Exchange","2.16","0.00","2.16","-215,556.00","1.00","United States","-","USD"
"HKD","HKD/USD","Cash and/or Derivatives","Foreign Exchange","0.95","0.00","0.95","-926,600.00","1.00","United States","-","USD"
"ILS","ILS/USD","Cash and/or Derivatives","Foreign Exchange","-0.50","0.00","-0.50","-209,718.00","1.00","United States","-","USD"
"JPY","JPY/USD","Cash and/or Derivatives","Foreign Exchange","21.10","0.00","21.10","-316,568,800.00","1.00","United States","-","USD"
"KRW","KRW/USD","Cash and/or Derivatives","Foreign Exchange","0.69","0.00","0.69","-7,229,300.00","1.00","United States","-","USD"
"MESM2","MSCI EMER MKT INDEX (ICE) JUN 22","Cash and/or Derivatives","Futures","0.00","0.00","6,501,940.00","124.00","1,048.70","-","Ice Futures U.S.","USD"
"MYR","MYR/USD","Cash and/or Derivatives","Foreign Exchange","1.95","0.00","1.95","-37,323.00","1.00","United States","-","USD"
"PLN","PLN/USD","Cash and/or Derivatives","Foreign Exchange","-0.15","0.00","-0.15","-79,948.00","1.00","United States","-","USD"
"SEK","SEK/USD","Cash and/or Derivatives","Foreign Exchange","-1.90","0.00","-1.90","-2,338,119.00","1.00","United States","-","USD"
"TRY","TRY/USD","Cash and/or Derivatives","Foreign Exchange","-0.02","0.00","-0.02","-47,161.00","1.00","United States","-","USD"
"TWD","TWD/USD","Cash and/or Derivatives","Foreign Exchange","43.82","0.00","43.82","-9,431,800.00","1.00","United States","-","USD"
"USD","USD CASH","Cash and/or Derivatives","Cash","-1,484,406.31","-0.05","-1,484,406.31","-1,484,406.00","100.00","United States","-","USD"
